filename	mark	label	off0	off1	span
32032497_ES	T1	HUMAN	112	118	hombre
32032497_ES	T2	HUMAN	1025	1033	paciente
32032497_ES	T3	HUMAN	1098	1106	paciente
32032497_ES	T4	HUMAN	1395	1403	paciente
32032497_ES	T5	SPECIES	1075	1084	2019-nCoV
32032497_ES	T6	SPECIES	1111	1122	antivirales
casos_clinicos_infecciosas141	T1	SPECIES	4752	4763	Aspergillus
casos_clinicos_infecciosas141	T2	SPECIES	5100	5115	Aspergillus spp
casos_clinicos_infecciosas141	T3	SPECIES	4670	4690	Campylobacter jejuni
casos_clinicos_infecciosas141	T4	SPECIES	4627	4643	Candida albicans
casos_clinicos_infecciosas141	T5	SPECIES	2427	2448	Clostridium difficile
casos_clinicos_infecciosas141	T6	SPECIES	4718	4730	Coccidioides
casos_clinicos_infecciosas141	T7	SPECIES	4589	4611	Histoplasma capsulatum
casos_clinicos_infecciosas141	T8	SPECIES	4614	4624	Leishmania
casos_clinicos_infecciosas141	T9	SPECIES	4795	4822	Mycobacterium avium complex
casos_clinicos_infecciosas141	T10	SPECIES	6868	6895	Mycobacterium avium complex
casos_clinicos_infecciosas141	T11	SPECIES	4766	4792	Mycobacterium tuberculosis
casos_clinicos_infecciosas141	T12	SPECIES	6839	6865	Mycobacterium tuberculosis
casos_clinicos_infecciosas141	T13	SPECIES	4693	4715	Pneumocystis jirovecii
casos_clinicos_infecciosas141	T14	SPECIES	5537	5559	Pneumocystis jirovecii
casos_clinicos_infecciosas141	T15	SPECIES	4646	4656	Salmonella
casos_clinicos_infecciosas141	T16	SPECIES	5924	5938	Salmonella spp
casos_clinicos_infecciosas141	T17	SPECIES	4659	4667	Shigella
casos_clinicos_infecciosas141	T18	SPECIES	5941	5953	Shigella spp
casos_clinicos_infecciosas141	T19	SPECIES	2356	2373	Toxoplasma gondii
casos_clinicos_infecciosas141	T21	SPECIES	83	86	VHC
casos_clinicos_infecciosas141	T22	SPECIES	378	381	VHC
casos_clinicos_infecciosas141	T23	SPECIES	74	77	VIH
casos_clinicos_infecciosas141	T24	SPECIES	7288	7291	VIH
casos_clinicos_infecciosas141	T25	SPECIES	9371	9374	VIH
casos_clinicos_infecciosas141	T30	SPECIES	216	231	antirretroviral
casos_clinicos_infecciosas141	T31	SPECIES	7541	7553	baciloscopia
casos_clinicos_infecciosas141	T32	SPECIES	6962	6973	bacterianos
casos_clinicos_infecciosas141	T33	SPECIES	5908	5919	bacteriemia
casos_clinicos_infecciosas141	T48	SPECIES	6810	6823	micobacterias
casos_clinicos_infecciosas141	T49	SPECIES	7502	7515	micobacterias
casos_clinicos_infecciosas141	T50	SPECIES	9100	9113	micobacterias
casos_clinicos_infecciosas141	T61	SPECIES	5718	5732	microorganismo
casos_clinicos_infecciosas141	T63	SPECIES	7574	7589	microorganismos
casos_clinicos_infecciosas141	T64	HUMAN	122	130	paciente
casos_clinicos_infecciosas141	T65	HUMAN	951	959	paciente
casos_clinicos_infecciosas141	T66	HUMAN	3707	3715	paciente
casos_clinicos_infecciosas141	T67	HUMAN	4293	4301	paciente
casos_clinicos_infecciosas141	T68	HUMAN	6250	6258	paciente
casos_clinicos_infecciosas141	T69	HUMAN	6585	6593	paciente
casos_clinicos_infecciosas141	T70	HUMAN	7258	7266	paciente
casos_clinicos_infecciosas141	T71	HUMAN	7402	7410	paciente
casos_clinicos_infecciosas141	T72	HUMAN	7747	7755	paciente
casos_clinicos_infecciosas141	T73	HUMAN	8141	8149	paciente
casos_clinicos_infecciosas141	T74	HUMAN	8722	8730	paciente
casos_clinicos_infecciosas141	T75	HUMAN	8959	8967	paciente
casos_clinicos_infecciosas141	T76	HUMAN	9196	9204	paciente
casos_clinicos_infecciosas141	T77	HUMAN	9341	9349	paciente
casos_clinicos_infecciosas141	T78	HUMAN	5184	5193	pacientes
casos_clinicos_infecciosas141	T79	HUMAN	5436	5445	pacientes
casos_clinicos_infecciosas141	T80	HUMAN	5738	5747	pacientes
casos_clinicos_infecciosas141	T81	HUMAN	7057	7066	pacientes
casos_clinicos_infecciosas141	T82	SPECIES	2451	2460	parásitos
casos_clinicos_infecciosas141	T87	SPECIES	8451	8467	tuberculostático
casos_clinicos_infecciosas141	T88	SPECIES	8108	8125	tuberculostáticos
casos_clinicos_infecciosas141	T89	SPECIES	9218	9235	tuberculostáticos
casos_clinicos_infecciosas141	T90	HUMAN	26	31	varón
casos_clinicos_infecciosas141	T91	SPECIES	178	183	viral
casos_clinicos_infecciosas141	T92	SPECIES	401	406	viral
casos_clinicos_infecciosas141	T93	SPECIES	469	474	viral
casos_clinicos_infecciosas141	T94	SPECIES	5958	5971	Campylobacter
casos_clinicos_infecciosas141	T95	SPECIES	6552	6561	T. gondii
casos_clinicos_infecciosas141	T96	SPECIES	7002	7010	M. avium
casos_clinicos_infecciosas141	T97	SPECIES	7340	7355	M. tuberculosis
casos_clinicos_infecciosas141	T98	SPECIES	9059	9074	M. tuberculosis
casos_clinicos_infecciosas141	T100	SPECIES	101	117	inmunovirológica
casos_clinicos_infecciosas141	T101	SPECIES	2346	2353	sífilis
casos_clinicos_infecciosas141	T102	SPECIES	4733	4749	Toxoplasmagondii
casos_clinicos_infecciosas141	T103	SPECIES	4850	4858	fúngicas
casos_clinicos_infecciosas141	T110	SPECIES	6063	6070	bacilar
cc_onco908	T2	SPECIES	4097	4109	Nocardia spp
cc_onco908	T3	SPECIES	4178	4186	Nocardia
cc_onco908	T4	SPECIES	3716	3738	Pneumocystis jirovecii
cc_onco908	T5	SPECIES	1879	1882	VIH
cc_onco908	T6	HUMAN	305	314	contactos
cc_onco908	T7	HUMAN	344	351	familia
cc_onco908	T11	HUMAN	330	338	paciente
cc_onco908	T12	HUMAN	1323	1331	paciente
cc_onco908	T13	HUMAN	2018	2026	paciente
cc_onco908	T14	HUMAN	2579	2587	paciente
cc_onco908	T15	HUMAN	3430	3438	paciente
cc_onco908	T16	HUMAN	3766	3774	paciente
cc_onco908	T17	HUMAN	3852	3860	paciente
cc_onco908	T18	HUMAN	4517	4525	paciente
cc_onco908	T19	HUMAN	13	18	varón
cc_onco908	T20	HUMAN	205	210	varón
cc_onco908	T21	SPECIES	1885	1894	hepatitis
caso_clinico_medtropical54	T1	HUMAN	2554	2560	Adulto
caso_clinico_medtropical54	T2	SPECIES	546	549	BCG
caso_clinico_medtropical54	T4	HUMAN	0	18	Paciente masculino
caso_clinico_medtropical54	T5	SPECIES	510	535	amastigotes de Leishmania
caso_clinico_medtropical54	T8	HUMAN	913	921	paciente
caso_clinico_medtropical54	T9	HUMAN	1042	1050	paciente
caso_clinico_medtropical54	T10	HUMAN	1970	1978	paciente
caso_clinico_medtropical54	T11	HUMAN	2388	2396	paciente
caso_clinico_medtropical54	T12	HUMAN	2842	2850	paciente
caso_clinico_medtropical54	T14	SPECIES	2596	2604	parásito
caso_clinico_medtropical54	T15	HUMAN	925	961	conductor de un transporte colectivo
caso_clinico_medtropical54	T17	SPECIES	1582	1593	leishmanina
caso_clinico_medtropical54	T18	SPECIES	1772	1797	amastigotes de Leishmania
caso_clinico_medtropical54	T20	SPECIES	1633	1647	antileishmania
casos_clinicos_infecciosas1	T2	SPECIES	5853	5873	Chlamydia pneumoniae
casos_clinicos_infecciosas1	T3	SPECIES	5988	6003	Citomegalovirus
casos_clinicos_infecciosas1	T4	SPECIES	5899	5916	Coxiella burnetti
