filename	mark	label	off0	off1	span
32032497_ES	T5	SPECIES	1075	1084	2019-nCoV
32032497_ES	T6	SPECIES	1111	1122	antivirales
casos_clinicos_infecciosas141	T1	SPECIES	4752	4763	Aspergillus
casos_clinicos_infecciosas141	T2	SPECIES	5100	5115	Aspergillus spp
casos_clinicos_infecciosas141	T3	SPECIES	4670	4690	Campylobacter jejuni
casos_clinicos_infecciosas141	T4	SPECIES	4627	4643	Candida albicans
casos_clinicos_infecciosas141	T5	SPECIES	2427	2448	Clostridium difficile
casos_clinicos_infecciosas141	T6	SPECIES	4718	4730	Coccidioides
casos_clinicos_infecciosas141	T7	SPECIES	4589	4611	Histoplasma capsulatum
casos_clinicos_infecciosas141	T8	SPECIES	4614	4624	Leishmania
casos_clinicos_infecciosas141	T9	SPECIES	4795	4822	Mycobacterium avium complex
casos_clinicos_infecciosas141	T10	SPECIES	6868	6895	Mycobacterium avium complex
casos_clinicos_infecciosas141	T11	SPECIES	4766	4792	Mycobacterium tuberculosis
casos_clinicos_infecciosas141	T12	SPECIES	6839	6865	Mycobacterium tuberculosis
casos_clinicos_infecciosas141	T13	SPECIES	4693	4715	Pneumocystis jirovecii
casos_clinicos_infecciosas141	T14	SPECIES	5537	5559	Pneumocystis jirovecii
casos_clinicos_infecciosas141	T15	SPECIES	4646	4656	Salmonella
casos_clinicos_infecciosas141	T16	SPECIES	5924	5938	Salmonella spp
casos_clinicos_infecciosas141	T17	SPECIES	4659	4667	Shigella
casos_clinicos_infecciosas141	T18	SPECIES	5941	5953	Shigella spp
casos_clinicos_infecciosas141	T19	SPECIES	2356	2373	Toxoplasma gondii
casos_clinicos_infecciosas141	T21	SPECIES	83	86	VHC
casos_clinicos_infecciosas141	T22	SPECIES	378	381	VHC
casos_clinicos_infecciosas141	T23	SPECIES	74	77	VIH
casos_clinicos_infecciosas141	T24	SPECIES	7288	7291	VIH
casos_clinicos_infecciosas141	T25	SPECIES	9371	9374	VIH
casos_clinicos_infecciosas141	T30	SPECIES	216	231	antirretroviral
casos_clinicos_infecciosas141	T31	SPECIES	7541	7553	baciloscopia
casos_clinicos_infecciosas141	T32	SPECIES	6962	6973	bacterianos
casos_clinicos_infecciosas141	T33	SPECIES	5908	5919	bacteriemia
casos_clinicos_infecciosas141	T48	SPECIES	6810	6823	micobacterias
casos_clinicos_infecciosas141	T49	SPECIES	7502	7515	micobacterias
casos_clinicos_infecciosas141	T50	SPECIES	9100	9113	micobacterias
casos_clinicos_infecciosas141	T61	SPECIES	5718	5732	microorganismo
casos_clinicos_infecciosas141	T63	SPECIES	7574	7589	microorganismos
casos_clinicos_infecciosas141	T82	SPECIES	2451	2460	parásitos
casos_clinicos_infecciosas141	T87	SPECIES	8451	8467	tuberculostático
casos_clinicos_infecciosas141	T88	SPECIES	8108	8125	tuberculostáticos
casos_clinicos_infecciosas141	T89	SPECIES	9218	9235	tuberculostáticos
casos_clinicos_infecciosas141	T91	SPECIES	178	183	viral
casos_clinicos_infecciosas141	T92	SPECIES	401	406	viral
casos_clinicos_infecciosas141	T93	SPECIES	469	474	viral
casos_clinicos_infecciosas141	T94	SPECIES	5958	5971	Campylobacter
casos_clinicos_infecciosas141	T95	SPECIES	6552	6561	T. gondii
casos_clinicos_infecciosas141	T96	SPECIES	7002	7010	M. avium
casos_clinicos_infecciosas141	T97	SPECIES	7340	7355	M. tuberculosis
casos_clinicos_infecciosas141	T98	SPECIES	9059	9074	M. tuberculosis
casos_clinicos_infecciosas141	T100	SPECIES	101	117	inmunovirológica
