filename	mark	label	off0	off1	span	isH	isN	iscomplex	NCBITax
32032497_ES	T5	SPECIES	1075	1084	2019-nCoV	False	False	False	2697049
32032497_ES	T6	SPECIES	1111	1122	antivirales	False	False	False	10239
casos_clinicos_infecciosas141	T1	SPECIES	4752	4763	Aspergillus	False	False	False	5052
casos_clinicos_infecciosas141	T2	SPECIES	5100	5115	Aspergillus spp	False	False	False	5065
casos_clinicos_infecciosas141	T3	SPECIES	4670	4690	Campylobacter jejuni	False	False	False	197
casos_clinicos_infecciosas141	T4	SPECIES	4627	4643	Candida albicans	False	False	False	5476
casos_clinicos_infecciosas141	T5	SPECIES	2427	2448	Clostridium difficile	False	False	False	1496
casos_clinicos_infecciosas141	T6	SPECIES	4718	4730	Coccidioides	False	False	False	5500
casos_clinicos_infecciosas141	T7	SPECIES	4589	4611	Histoplasma capsulatum	False	False	False	5037
casos_clinicos_infecciosas141	T8	SPECIES	4614	4624	Leishmania	False	False	False	5658
casos_clinicos_infecciosas141	T9	SPECIES	4795	4822	Mycobacterium avium complex	False	False	False	120793
casos_clinicos_infecciosas141	T10	SPECIES	6868	6895	Mycobacterium avium complex	False	False	False	120793
casos_clinicos_infecciosas141	T11	SPECIES	4766	4792	Mycobacterium tuberculosis	False	False	False	77643
casos_clinicos_infecciosas141	T12	SPECIES	6839	6865	Mycobacterium tuberculosis	False	False	False	77643
casos_clinicos_infecciosas141	T13	SPECIES	4693	4715	Pneumocystis jirovecii	False	False	False	42068
casos_clinicos_infecciosas141	T14	SPECIES	5537	5559	Pneumocystis jirovecii	False	False	False	42068
casos_clinicos_infecciosas141	T15	SPECIES	4646	4656	Salmonella	False	False	False	590
casos_clinicos_infecciosas141	T16	SPECIES	5924	5938	Salmonella spp	False	False	False	599
casos_clinicos_infecciosas141	T17	SPECIES	4659	4667	Shigella	False	False	False	620
casos_clinicos_infecciosas141	T18	SPECIES	5941	5953	Shigella spp	False	False	False	625
casos_clinicos_infecciosas141	T19	SPECIES	2356	2373	Toxoplasma gondii	False	False	False	5811
casos_clinicos_infecciosas141	T21	SPECIES	83	86	VHC	False	False	False	11103
casos_clinicos_infecciosas141	T22	SPECIES	378	381	VHC	False	False	False	11103
casos_clinicos_infecciosas141	T23	SPECIES	74	77	VIH	False	False	False	12721
casos_clinicos_infecciosas141	T24	SPECIES	7288	7291	VIH	False	False	False	12721
casos_clinicos_infecciosas141	T25	SPECIES	9371	9374	VIH	False	False	False	12721
casos_clinicos_infecciosas141	T30	SPECIES	216	231	antirretroviral	False	False	False	11632
casos_clinicos_infecciosas141	T31	SPECIES	7541	7553	baciloscopia	True	False	False	2|H
casos_clinicos_infecciosas141	T32	SPECIES	6962	6973	bacterianos	False	False	False	2
casos_clinicos_infecciosas141	T33	SPECIES	5908	5919	bacteriemia	False	False	False	2
casos_clinicos_infecciosas141	T48	SPECIES	6810	6823	micobacterias	False	False	False	1762
casos_clinicos_infecciosas141	T49	SPECIES	7502	7515	micobacterias	False	False	False	1762
casos_clinicos_infecciosas141	T50	SPECIES	9100	9113	micobacterias	False	False	False	1762
casos_clinicos_infecciosas141	T61	SPECIES	5718	5732	microorganismo	False	False	True	2|2759|10239
casos_clinicos_infecciosas141	T63	SPECIES	7574	7589	microorganismos	False	False	True	2|2759|10239
casos_clinicos_infecciosas141	T82	SPECIES	2451	2460	parásitos	True	False	False	2759|H
